CustomerID,total_spent,num_orders,total_items,last_purchase,heavy_multibuy_count,total_basket_value,avg_basket_value,days_since,segment
12478,545.99,1,233,2011-12-06 09:56:00,12,19109.65,545.99,3,MultiBuy
12479,473.2,1,382,2011-11-28 13:26:00,23,14196.0,473.2,10,MultiBuy
12480,2885.63,4,1685,2011-11-11 14:52:00,74,109291.93,728.61,27,MultiBuy
12481,5003.82,10,3262,2011-11-17 08:29:00,144,142070.31,683.03,22,MultiBuy
12483,1910.98,8,1094,2011-11-22 17:02:00,48,20842.77,306.51,16,MultiBuy
12484,3939.32,4,2166,2011-11-04 15:18:00,63,350322.73,1033.4,34,MultiBuy
12488,1244.66,3,526,2011-11-30 08:50:00,22,25527.07,472.72,9,MultiBuy
12489,298.93,1,103,2011-01-07 13:13:00,4,4185.02,298.93,335,Lapsed
12490,4859.93,10,3033,2011-12-04 16:07:00,160,132832.73,565.25,4,MultiBuy
12491,424.4,1,258,2011-11-01 12:18:00,7,10610.0,424.4,38,Active
12492,227.21,2,190,2011-10-07 15:15:00,11,2055.32,114.18,62,MultiBuy
12493,379.74,2,204,2011-06-27 10:17:00,16,3810.66,190.53,165,MultiBuy
12494,1084.1,7,698,2011-11-24 09:34:00,37,15872.29,223.55,15,MultiBuy
12497,953.1,1,1231,2011-09-19 12:29:00,13,12390.3,953.1,81,MultiBuy
12498,349.7,3,156,2011-11-18 12:53:00,8,3351.9,159.61,20,Repeat
12500,4056.82,10,2666,2011-11-16 16:20:00,34,24284.01,476.16,22,MultiBuy
12501,2025.39,1,1775,2011-01-07 12:28:00,73,299757.72,2025.39,336,MultiBuy
12502,2995.87,5,794,2011-09-05 11:52:00,25,90477.3,637.16,95,MultiBuy
12504,428.05,2,87,2011-11-21 16:02:00,5,2074.95,259.37,17,Repeat
12506,73.5,1,23,2011-04-21 08:54:00,0,1690.5,73.5,232,Lapsed
12507,1052.81,3,885,2011-07-28 17:09:00,17,8256.07,434.53,133,MultiBuy
12508,397.88,2,271,2011-11-13 15:37:00,5,16107.16,236.87,25,Repeat
12509,158.5,1,54,2011-02-28 14:45:00,5,951.0,158.5,283,Lapsed
12510,814.57,2,347,2011-07-20 10:15:00,19,17369.96,560.32,142,MultiBuy
12512,132.18,2,96,2011-10-04 14:55:00,4,3409.32,109.98,65,Repeat
12513,558.29,1,459,2011-08-19 10:51:00,28,18981.86,558.29,112,MultiBuy
12514,1017.68,1,440,2011-03-17 16:38:00,27,51901.68,1017.68,266,MultiBuy
12515,278.7,1,128,2010-12-21 15:43:00,6,4180.5,278.7,352,Lapsed
12516,1186.06,2,868,2011-09-23 09:13:00,24,14232.72,593.03,77,MultiBuy
12517,2301.6,4,1351,2011-11-11 13:57:00,43,176445.9,639.3,27,MultiBuy
12518,1840.89,5,1306,2011-12-09 10:13:00,57,45969.57,386.3,0,MultiBuy
12519,276.84,1,172,2011-10-07 09:26:00,8,4429.44,276.84,63,Active
12520,2346.26,5,1423,2011-09-21 15:23:00,75,87260.34,593.61,78,MultiBuy
12521,545.68,1,306,2011-07-20 10:51:00,18,20190.16,545.68,142,MultiBuy
12522,156.72,2,192,2011-10-31 15:30:00,5,783.6,78.36,38,Repeat
12523,1699.77,11,860,2011-11-20 12:55:00,33,16974.69,166.42,18,MultiBuy
12524,3945.72,8,3669,2011-11-30 15:31:00,107,81225.17,597.24,8,MultiBuy
12526,1172.66,3,624,2011-12-09 12:09:00,36,28977.2,426.14,0,MultiBuy
12527,330.71,3,233,2011-09-19 11:55:00,12,1984.05,116.71,81,MultiBuy
12528,1645.48,6,740,2011-11-30 14:40:00,34,26869.01,312.43,8,MultiBuy
12530,1500.28,4,904,2011-10-11 12:34:00,42,23501.27,379.05,59,MultiBuy
12531,125.22,1,45,2011-11-25 11:12:00,0,2128.74,125.22,14,Active
12532,313.83,1,151,2011-11-09 13:47:00,9,4707.45,313.83,29,Active
12534,981.18,1,645,2011-08-01 10:26:00,37,60833.16,981.18,130,MultiBuy
12535,716.35,2,219,2011-09-09 08:48:00,7,12204.5,358.96,91,Repeat
12536,4279.71,1,2801,2011-10-11 14:52:00,130,1108444.89,4279.71,58,MultiBuy
12538,363.95,1,191,2011-11-10 17:16:00,9,7642.95,363.95,28,Active
12539,5568.35,4,2067,2011-11-17 13:30:00,94,412110.04,1509.56,21,MultiBuy
12540,11580.24,17,6620,2011-11-20 11:31:00,326,369437.13,801.38,19,MultiBuy
12541,841.18,3,675,2011-11-10 10:40:00,35,14811.72,302.28,29,MultiBuy
12544,316.7,1,134,2011-11-03 16:15:00,5,5700.6,316.7,35,Active
12545,832.39,2,517,2011-09-25 13:39:00,30,22280.55,464.18,74,MultiBuy
12546,1021.5,2,628,2011-10-24 12:09:00,29,37694.7,562.61,46,MultiBuy
12547,151.8,2,132,2011-05-26 12:38:00,6,677.4,112.9,197,Repeat
12548,67.2,1,48,2011-06-26 15:35:00,4,268.8,67.2,165,Active
12550,824.83,1,564,2011-09-21 14:35:00,32,46190.48,824.83,78,MultiBuy
12551,168.0,1,100,2010-12-17 11:23:00,10,1680.0,168.0,357,MultiBuy
12552,317.82,1,85,2011-10-31 12:11:00,1,6038.58,317.82,39,Active
12553,3278.28,10,1942,2011-12-01 16:38:00,112,72165.63,396.51,7,MultiBuy
12556,599.56,2,355,2011-10-20 13:06:00,7,35772.49,300.61,49,Repeat
12557,11990.96,5,4384,2011-11-23 16:59:00,33,95011.08,2879.12,15,MultiBuy
12558,269.96,1,196,2011-12-02 10:41:00,11,2969.56,269.96,7,MultiBuy
12559,525.71,2,281,2011-02-02 09:49:00,13,8627.69,431.38,310,MultiBuy
12560,1918.01,2,1098,2011-12-04 13:54:00,55,115109.46,1117.57,4,MultiBuy
12561,238.85,1,177,2011-02-10 11:39:00,7,3821.6,238.85,302,Lapsed
12562,3385.74,7,1757,2011-12-01 17:20:00,113,78560.46,487.95,7,MultiBuy
12564,402.9,1,130,2011-03-23 14:55:00,7,8058.0,402.9,260,Lapsed
12565,145.92,1,80,2011-02-24 10:34:00,5,1313.28,145.92,288,Lapsed
12566,297.65,1,262,2011-09-14 14:30:00,11,5357.7,297.65,85,MultiBuy
12567,8609.28,10,4261,2011-11-17 11:02:00,202,468614.2,1069.9,22,MultiBuy
12569,3152.69,32,1747,2011-12-07 16:24:00,83,19327.96,123.11,1,MultiBuy
12571,519.61,2,523,2011-10-31 10:19:00,29,8902.1,261.83,39,MultiBuy
12572,912.42,2,446,2011-12-01 09:20:00,21,26730.54,460.87,8,MultiBuy
12573,160.54,1,84,2011-04-26 15:52:00,3,4495.12,160.54,226,Lapsed
12574,182.45,1,59,2011-01-28 09:20:00,1,1824.5,182.45,315,Lapsed
12576,1315.83,5,967,2011-11-04 10:11:00,65,24872.63,282.64,35,MultiBuy
12577,622.65,3,468,2011-11-04 13:24:00,12,34119.65,235.31,34,MultiBuy
12578,2402.51,2,1182,2011-11-18 13:30:00,66,140037.09,1250.33,20,MultiBuy
12579,386.42,1,282,2011-09-22 17:15:00,12,10819.76,386.42,77,MultiBuy
12580,379.7,1,236,2011-04-07 10:24:00,18,8733.1,379.7,246,MultiBuy
12581,179.71,1,160,2011-10-31 08:56:00,12,2515.94,179.71,39,MultiBuy
12582,351.36,2,296,2011-04-15 08:45:00,11,3492.56,174.63,238,MultiBuy
12583,6705.38,15,5028,2011-12-07 08:07:00,185,115128.37,496.24,2,MultiBuy
12584,2254.15,9,413,2011-12-06 09:35:00,10,28535.74,300.38,3,MultiBuy
12585,1824.1,2,1267,2011-04-19 13:39:00,57,87964.65,1034.88,233,MultiBuy
12586,196.94,1,79,2011-11-22 16:24:00,2,2166.34,196.94,16,Active
12587,104.0,1,50,2011-12-02 12:47:00,3,312.0,104.0,7,Active
12588,174.9,1,52,2011-10-31 15:01:00,3,1574.1,174.9,38,Active
12589,574.68,2,302,2011-11-11 10:19:00,13,12089.82,366.36,28,MultiBuy
12590,9341.26,1,4282,2011-05-12 14:46:00,67,625864.42,9341.26,210,MultiBuy
12591,368.85,1,225,2011-01-26 14:35:00,12,9221.25,368.85,316,MultiBuy
12592,401.6,2,288,2011-09-08 15:04:00,16,3212.8,200.8,91,MultiBuy
12593,382.1,3,204,2011-08-23 12:43:00,18,2910.5,145.52,108,MultiBuy
12594,3208.22,9,1772,2011-11-02 12:20:00,87,58126.05,509.88,37,MultiBuy
12596,450.27,2,468,2011-10-19 13:02:00,13,5594.82,223.79,50,MultiBuy
12597,3195.22,4,2214,2011-11-20 13:33:00,97,264948.68,1311.63,18,MultiBuy
12598,2807.08,7,1952,2011-11-30 12:18:00,92,56576.91,445.49,9,MultiBuy
12599,888.58,7,948,2011-11-10 13:34:00,48,7643.06,138.96,28,MultiBuy
12600,2311.04,10,758,2011-11-11 10:29:00,45,14546.58,269.38,28,MultiBuy
12601,487.06,5,240,2011-06-03 10:17:00,13,2434.88,105.86,189,MultiBuy
12602,153.12,1,162,2011-10-12 11:22:00,9,1837.44,153.12,58,Active
12603,613.2,1,56,2011-11-18 10:42:00,1,613.2,613.2,21,Active
12604,236.18,2,200,2011-09-21 14:08:00,6,1898.58,126.57,78,Repeat
12607,1579.51,1,1228,2011-10-10 16:06:00,64,159530.51,1579.51,59,MultiBuy
12609,964.85,3,639,2011-09-22 16:34:00,27,19413.67,340.59,77,MultiBuy
12610,1747.54,4,1039,2011-11-17 09:34:00,55,60931.01,597.36,22,MultiBuy
12611,1193.32,1,846,2011-10-18 13:12:00,35,77565.8,1193.32,51,MultiBuy
12612,668.04,1,260,2011-09-26 15:35:00,9,12024.72,668.04,73,Active
12613,3092.38,4,1630,2011-10-13 14:59:00,92,180180.73,1209.27,56,MultiBuy
12614,315.6,1,76,2011-03-07 10:22:00,1,6312.0,315.6,277,Lapsed
12615,2093.19,4,1365,2011-12-07 15:02:00,71,53877.35,533.44,1,MultiBuy
12616,641.3,2,280,2011-09-05 15:17:00,15,10630.0,354.33,94,MultiBuy
12617,352.98,1,210,2011-11-10 14:39:00,8,14472.18,352.98,28,Active
12618,137.31,1,95,2011-11-18 11:10:00,4,1373.1,137.31,21,Active
12619,2945.56,8,3360,2011-11-23 14:52:00,74,32812.7,400.15,15,MultiBuy
12620,1303.41,3,1179,2011-11-25 10:20:00,58,39977.68,439.32,14,MultiBuy
12621,12411.67,20,7369,2011-12-08 11:25:00,343,330614.92,736.34,1,MultiBuy
12622,162.1,1,68,2011-04-21 16:39:00,4,1621.0,162.1,231,Lapsed
12623,269.1,1,189,2011-03-08 13:50:00,10,4574.7,269.1,275,MultiBuy
12624,569.13,2,351,2011-08-25 15:04:00,19,10244.34,284.56,105,MultiBuy
12625,2413.82,2,1597,2011-05-12 09:54:00,78,109054.64,1298.27,211,MultiBuy
12626,5954.48,9,3416,2011-11-16 16:06:00,182,251494.97,882.44,22,MultiBuy
12627,4082.53,6,2730,2011-11-29 12:07:00,141,165447.03,738.6,10,MultiBuy
12628,732.46,3,445,2011-12-05 13:15:00,24,9612.94,252.97,3,MultiBuy
12630,1030.88,2,542,2011-11-30 10:48:00,28,32355.38,521.86,9,MultiBuy
12631,480.5,1,232,2011-10-13 13:53:00,8,14415.0,480.5,56,Active
12633,1929.98,4,1149,2011-10-12 11:40:00,46,58424.89,602.32,58,MultiBuy
12635,1509.18,2,1162,2011-09-11 11:04:00,62,77328.36,781.09,89,MultiBuy
12637,5804.9,8,2983,2011-10-03 13:46:00,171,343548.12,906.46,66,MultiBuy
12638,511.69,1,573,2011-11-06 13:11:00,25,19444.22,511.69,32,MultiBuy
12639,366.1,1,198,2011-04-15 12:48:00,14,7688.1,366.1,238,MultiBuy
12640,994.58,3,301,2011-11-16 11:52:00,12,29799.79,596.0,23,MultiBuy
12641,145.9,1,71,2011-08-16 13:26:00,2,1313.1,145.9,114,Active
12642,905.26,3,546,2011-11-14 15:03:00,26,13667.3,310.62,24,MultiBuy
12643,3041.64,6,1788,2011-08-03 12:56:00,18,11186.64,621.48,127,MultiBuy
12644,477.91,1,325,2011-08-02 10:33:00,16,14815.21,477.91,129,MultiBuy
12645,1631.18,4,1076,2011-11-06 12:38:00,58,28553.18,413.81,33,MultiBuy
12646,1346.97,2,897,2011-12-05 10:14:00,31,30481.44,677.37,4,MultiBuy
12647,3146.82,12,1399,2011-11-17 12:56:00,54,31990.88,293.49,21,MultiBuy
12648,300.05,1,159,2011-07-08 11:55:00,4,6001.0,300.05,154,Active
12649,569.51,3,583,2011-08-24 14:41:00,21,8021.82,276.61,106,MultiBuy
12650,242.44,1,250,2011-12-06 16:34:00,15,4606.36,242.44,2,MultiBuy
12651,114.0,1,78,2011-01-09 12:46:00,5,1026.0,114.0,334,Lapsed
12652,793.98,1,498,2011-01-12 15:00:00,27,37317.06,793.98,330,MultiBuy
12653,2209.85,2,919,2011-07-14 10:41:00,39,51095.85,1188.28,148,MultiBuy
12654,529.98,5,260,2011-11-29 10:10:00,14,4197.95,123.47,10,MultiBuy
12656,3619.17,5,1699,2011-11-22 13:42:00,67,90028.37,744.04,16,MultiBuy
12657,1427.18,4,1032,2011-11-28 15:47:00,24,21502.3,488.69,10,MultiBuy
12658,632.05,1,317,2011-11-21 10:22:00,16,22121.75,632.05,18,MultiBuy
12659,73.68,1,104,2011-11-10 11:53:00,2,294.72,73.68,29,Active
12660,227.1,1,126,2011-11-28 13:26:00,6,2725.2,227.1,10,Active
12662,3543.78,11,2041,2011-12-09 11:59:00,101,79008.18,359.13,0,MultiBuy
12664,4391.88,9,1188,2011-12-01 17:07:00,26,15247.92,544.57,7,MultiBuy
12665,45.0,1,36,2011-01-19 08:34:00,2,90.0,45.0,324,Lapsed
12667,460.13,1,391,2011-10-12 17:00:00,18,14724.16,460.13,57,MultiBuy
12668,3177.15,4,1599,2011-11-28 10:56:00,79,135314.77,861.88,11,MultiBuy
12669,1427.73,2,1104,2011-07-12 09:54:00,58,81907.3,835.79,150,MultiBuy
12670,2744.05,5,1383,2011-11-29 15:23:00,72,48603.19,558.66,9,MultiBuy
12672,225.9,1,78,2011-01-14 09:20:00,4,2259.0,225.9,329,Lapsed
12673,574.52,2,349,2011-12-04 13:55:00,23,11445.86,279.17,4,MultiBuy
12674,1844.6,4,1126,2011-11-01 12:12:00,49,36339.98,460.0,38,MultiBuy
12676,1091.39,6,664,2011-11-15 12:25:00,32,8745.3,224.24,24,MultiBuy
12678,16331.46,9,10900,2011-10-28 13:04:00,142,678334.89,4348.3,41,MultiBuy
12679,951.02,4,545,2011-10-12 12:30:00,12,29833.42,678.03,58,MultiBuy
12680,790.81,4,439,2011-12-09 12:50:00,23,11088.65,226.3,0,MultiBuy
12681,12365.54,22,7457,2011-11-25 11:33:00,363,396491.92,643.66,14,MultiBuy
12682,11019.82,31,5485,2011-12-06 10:00:00,276,215457.63,435.27,3,MultiBuy
12683,7612.57,14,4934,2011-12-05 16:28:00,238,227533.96,687.41,3,MultiBuy
12684,2073.63,6,1973,2011-12-02 09:53:00,85,38920.15,397.14,7,MultiBuy
12685,2575.08,6,1507,2011-11-11 13:46:00,77,91325.54,604.8,27,MultiBuy
12686,71.14,1,106,2010-12-03 09:51:00,6,426.84,71.14,371,Lapsed
12688,4873.81,1,3028,2011-08-18 08:49:00,111,833421.51,4873.81,113,MultiBuy
12689,1139.61,2,622,2011-11-14 08:31:00,33,40265.45,575.22,25,MultiBuy
12690,335.01,1,103,2011-05-18 09:09:00,6,5025.15,335.01,205,Lapsed
12691,927.8,5,388,2011-11-11 16:49:00,13,5459.5,202.2,27,MultiBuy
12693,711.91,4,247,2011-08-04 17:51:00,11,6303.31,180.09,126,MultiBuy
12694,761.67,2,503,2011-09-30 13:06:00,23,13343.22,381.23,69,MultiBuy
12695,582.1,4,220,2011-12-02 13:22:00,9,4786.75,177.29,6,Repeat
12697,757.59,3,503,2011-11-11 08:47:00,22,9980.17,262.64,28,MultiBuy
12700,4525.99,4,2944,2011-12-02 10:47:00,153,305635.53,1157.71,7,MultiBuy
12701,725.71,2,674,2011-09-21 10:47:00,30,19185.13,376.18,79,MultiBuy
12702,201.0,1,52,2011-11-20 10:36:00,1,2211.0,201.0,19,Active
12703,265.55,1,163,2011-09-29 17:52:00,8,5311.0,265.55,70,Active
12704,1740.84,8,991,2011-12-02 13:15:00,47,20984.99,259.07,6,MultiBuy
12705,6382.29,8,3970,2011-11-24 13:17:00,204,300063.74,914.83,14,MultiBuy
12707,603.42,1,256,2011-02-21 08:38:00,13,19912.86,603.42,291,MultiBuy
12708,2442.91,10,1292,2011-11-10 09:52:00,67,40786.43,277.46,29,MultiBuy
12709,9400.52,15,3895,2011-11-24 15:38:00,166,160105.18,792.6,14,MultiBuy
12710,1023.02,3,844,2011-09-04 12:00:00,42,37013.96,500.19,96,MultiBuy
12712,3928.13,13,1036,2011-11-11 08:19:00,44,39665.74,330.55,28,MultiBuy
12713,794.55,1,505,2011-12-09 12:16:00,29,29398.35,794.55,0,MultiBuy
12714,4294.86,5,3046,2011-11-30 15:43:00,173,239160.94,941.58,8,MultiBuy
12715,263.36,1,190,2011-08-25 15:22:00,15,5003.84,263.36,105,MultiBuy
12716,963.49,2,703,2011-12-06 08:55:00,27,35262.17,526.3,3,MultiBuy
12717,830.98,2,502,2011-07-11 14:47:00,32,22680.72,427.94,150,MultiBuy
12718,202.25,1,201,2011-09-29 16:38:00,13,3640.5,202.25,70,MultiBuy
12719,572.95,2,370,2011-12-04 13:45:00,18,10716.2,289.63,4,MultiBuy
12720,5115.73,25,4635,2011-12-07 08:03:00,214,93728.32,274.06,2,MultiBuy
12721,2386.13,6,1944,2011-11-08 12:13:00,93,66059.25,426.19,31,MultiBuy
12722,979.63,4,565,2011-09-15 14:50:00,31,22771.06,437.9,84,MultiBuy
12723,707.07,5,433,2011-12-06 10:19:00,18,17849.65,262.49,3,MultiBuy
12724,923.41,4,439,2011-12-04 16:02:00,29,16054.5,327.64,4,MultiBuy
12725,371.8,1,162,2010-12-03 15:45:00,5,8551.4,371.8,370,Lapsed
12726,2411.1,7,3132,2011-11-11 13:35:00,101,50763.86,433.88,27,MultiBuy
12727,3440.7,7,2068,2011-11-29 11:46:00,97,84259.68,638.33,10,MultiBuy
12728,728.33,4,413,2011-09-29 15:31:00,19,7916.99,188.5,70,MultiBuy
